id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
72,W 52 St & 11 Ave,30,39,40.76727216,-73.99392888,In Service,1,8,W 52 St & 11 Ave,,,10019,,,false,2016-12-04 03:06:52 AM,
79,Franklin St & W Broadway,9,33,40.71911552,-74.00666661,In Service,1,23,Franklin St & W Broadway,,,10013,,,false,2016-12-04 03:08:56 AM,
82,St James Pl & Pearl St,9,27,40.71117416,-74.00016545,In Service,1,18,St James Pl & Pearl St,,,10038,,,false,2016-12-04 03:07:35 AM,
83,Atlantic Ave & Fort Greene Pl,42,62,40.68382604,-73.97632328,In Service,1,18,Atlantic Ave & Fort Greene Pl,,,11217,,,false,2016-12-04 03:08:09 AM,
116,W 17 St & 8 Ave,1,39,40.74177603,-74.00149746,In Service,1,38,W 17 St & 8 Ave,,,10011,,,false,2016-12-04 03:06:46 AM,
119,Park Ave & St Edwards St,15,19,40.69608941,-73.97803415,In Service,1,4,Park Ave & St Edwards St,,,11205,,,false,2016-12-04 03:10:22 AM,
120,Lexington Ave & Classon Ave,9,19,40.68676793,-73.95928168,In Service,1,10,Lexington Ave & Classon Ave,,,11238,,,false,2016-12-04 03:08:25 AM,
127,Barrow St & Hudson St,1,31,40.73172428,-74.00674436,In Service,1,28,Barrow St & Hudson St,,,10014,,,false,2016-12-04 03:08:53 AM,
128,MacDougal St & Prince St,9,30,40.72710258,-74.00297088,In Service,1,20,MacDougal St & Prince St,,,10012,,,false,2016-12-04 03:09:04 AM,
137,E 56 St & Madison Ave,0,6,40.761628,-73.972924,Not In Service,3,0,E 56 St & Madison Ave,,,10022,,,false,2016-11-09 05:53:45 PM,
143,Clinton St & Joralemon St,13,24,40.69239502,-73.99337909,In Service,1,10,Clinton St & Joralemon St,,,11201,,,false,2016-12-04 03:09:43 AM,
144,Nassau St & Navy St,2,19,40.69839895,-73.98068914,In Service,1,15,Nassau St & Navy St,,,11201,,,false,2016-12-04 03:08:09 AM,
146,Hudson St & Reade St,21,39,40.71625008,-74.0091059,In Service,1,18,Hudson St & Reade St,,,10013,,,false,2016-12-04 03:09:15 AM,
147,Greenwich St & Warren St,4,33,40.71542197,-74.01121978,In Service,1,29,Greenwich St & Warren St,,,10007,,,false,2016-12-04 03:08:43 AM,
